Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
7 rings,Ariana Grande,"thank u, next",2019,178626,4,0.78,0.321,1,-10.747,0,0.372,0.562,0,0.0881,0.315,139.961,50
Break Free,Ariana Grande,My Everything - Deluxe,2014,214840,4,0.686,0.702,7,-5.325,0,0.0455,0.00637,0.0000446,0.204,0.29,129.948,76
Dangerous Woman,Ariana Grande,Dangerous Woman,2016,235946,3,0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,70
God is a woman,Ariana Grande,Sweetener,2018,197546,4,0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,75
Into You,Ariana Grande,Dangerous Woman,2016,244453,4,0.623,0.734,9,-5.948,1,0.107,0.0162,0.00000175,0.145,0.37,107.853,71
no tears left to cry,Ariana Grande,Sweetener,2018,205920,4,0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,75
One Last Time,Ariana Grande,My Everything - Deluxe,2014,197266,4,0.628,0.593,8,-5.036,1,0.0323,0.093,0.00000165,0.096,0.104,125.025,82
positions,Ariana Grande,Positions,2020,172324,4,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,79
Side To Side,Ariana Grande,Dangerous Woman,2017,226160,4,0.649,0.736,6,-5.84,0,0.23,0.0528,0,0.235,0.612,159.182,66
"thank u, next",Ariana Grande,"thank u, next",2019,207320,4,0.72,0.654,1,-5.634,1,0.0647,0.227,0,0.101,0.411,106.976,78
Callaita,Bad Bunny,Un Verano Sin Ti,2019,250533,4,0.608,0.626,2,-4.773,1,0.301,0.597,0.00000216,0.25,0.246,176.086,76
DÁKITI,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020,205090,4,0.731,0.573,4,-10.059,0,0.0544,0.401,0.0000522,0.113,0.145,109.928,77
MIA,Bad Bunny,X 100PRE,2018,210367,4,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,75
Safaera,Bad Bunny,YHLQMDLG,2020,295176,4,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,74
Vete,Bad Bunny,Vete,2019,192024,4,0.886,0.672,1,-4.394,1,0.188,0.0363,0.00000878,0.101,0.526,91.976,69
Yo Perreo Sola,Bad Bunny,YHLQMDLG,2020,172127,4,0.86,0.758,11,-5.16,1,0.0695,0.021,0.0000654,0.344,0.453,97.014,71
Fall In Love,Bailey Zimmerman,Religiously. The Album.,2023,232058,4,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,75
Get to Gettin’ Gone,Bailey Zimmerman,Religiously. The Album.,2022,182465,4,0.584,0.68,6,-6.781,1,0.0351,0.285,0,0.0901,0.55,146.093,64
Religiously,Bailey Zimmerman,Religiously. The Album.,2023,178723,4,0.57,0.67,1,-6.519,1,0.0274,0.426,0,0.108,0.593,140.924,77
Rock and A Hard Place,Bailey Zimmerman,Religiously. The Album.,2022,207540,3,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,79
Small Town Crazy,Bailey Zimmerman,Small Town Crazy,2023,162352,4,0.502,0.877,7,-2.847,1,0.0746,0.0129,0,0.244,0.696,170.123,55
Trainwreck,Bailey Zimmerman,Leave The Light On,2022,210869,4,0.509,0.803,7,-5.543,1,0.0272,0.0772,0,0.133,0.373,138.022,53
Where It Ends,Bailey Zimmerman,Religiously. The Album.,2023,179294,4,0.431,0.837,9,-5.067,1,0.0432,0.259,0,0.0879,0.648,170.041,80
I'm a Mess,Bebe Rexha,Expectations,2018,195519,4,0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,70
